Product_Type,SKU_ID,Price,Availability,Units_Sold,Revenue,Customer_Segment,Stock_Levels,Shipping_Lead_Time,Order_Quantity,Shipping_Time,Carrier,Shipping_Cost,Supplier_ID,Supplier_Lead_Time,Production_Volume,Mfg_Lead_Time,Mfg_Cost,Inspection_Result,Defect_Rate,Transport_Mode,Route,Logistics_Cost,Gross_Margin_Pct,Revenue_Per_Unit,Daily_Demand,Stock_Cover_Days,Demand_Stock_Ratio,Total_Lead_Time,Cost_Per_Unit,Reorder_Point,Reorder_Gap,Carrying_Cost_Ratio,Supply_Efficiency,Shipping_Cost_Ratio,Future_Sales,Delay_Flag,Inventory_Risk_Class,Cash_Stress_Score
haircare,SKU0,69.8080055421157,55.0,802.0,8661.99679239238,Non-binary,58.0,7.0,96.0,4.0,Carrier B,2.9565721394308,Supplier 3,29.0,215.0,29.0,46.2798792405083,Pending,0.226410360849925,Road,Route B,187.752075459203,33.7,10.8,26.733,2.2,13.593,58.0,0.234,1865.0,-1807.0,0.0479,2.216,0.0003,838,0,Medium,4.05
skincare,SKU1,14.8435232750843,95.0,736.0,7460.90006544584,Female,53.0,30.0,37.0,2.0,Carrier A,9.71657477143131,Supplier 3,23.0,517.0,30.0,33.61676895373,Pending,4.8540680263887,Road,Route B,503.065579149669,-126.47,10.137,24.533,2.2,13.63,53.0,0.683,1565.0,-1512.0,0.1631,13.605,0.0013,608,0,High,8.43
haircare,SKU2,11.3196832930905,34.0,8.0,9577.74962586873,Unknown,1.0,10.0,88.0,2.0,Carrier B,8.05447926173215,Supplier 1,12.0,971.0,27.0,30.6880193482842,Pending,4.58059261919922,Air,Route C,141.920281771519,-171.1,1197.219,0.267,3.6,4.0,39.0,15.769,17.0,-16.0,0.3352,10.91,0.0008,5,0,Medium,9.13
skincare,SKU3,61.1633430164377,68.0,83.0,7766.83642568523,Non-binary,23.0,13.0,59.0,6.0,Carrier C,1.72956856354342,Supplier 5,24.0,937.0,18.0,35.624741397125,Fail,4.74664862064775,Rail,Route A,254.776159219286,41.75,93.576,2.767,8.3,3.458,42.0,3.033,144.0,-121.0,0.1614,15.617,0.0002,65,1,Medium,2.72
skincare,SKU4,4.80549603634589,26.0,871.0,2686.50515156744,Non-binary,5.0,3.0,56.0,8.0,Carrier A,3.89054791587067,Supplier 1,5.0,414.0,3.0,92.0651605987128,Fail,3.145579522833,Air,Route A,923.440631711922,-1815.83,3.084,29.033,0.2,145.167,8.0,1.059,283.0,-278.0,0.11,7.263,0.0014,712,1,High,54.37
haircare,SKU5,1.69997601386593,87.0,147.0,2828.34874597575,Non-binary,90.0,27.0,66.0,3.0,Carrier B,4.44409886438229,Supplier 4,10.0,104.0,17.0,56.7664755574318,Fail,2.77919351157116,Road,Route A,235.461236735537,-3239.25,19.24,4.9,18.3,1.615,27.0,1.591,163.0,-73.0,20.3629,1.552,0.0016,143,1,Low,93.41
skincare,SKU6,4.07833286310794,48.0,65.0,7823.47655953173,Male,11.0,15.0,58.0,8.0,Carrier C,3.880763302952,Supplier 3,14.0,314.0,24.0,1.08506856958706,Pending,1.00091061930413,Sea,Route A,134.369096861031,73.39,120.361,2.167,5.1,5.417,38.0,2.036,103.0,-92.0,0.0449,5.322,0.0005,65,0,Low,1.71
cosmetics,SKU7,42.95838438246,59.0,426.0,8496.10381308983,Female,93.0,17.0,11.0,1.0,Carrier B,2.34833878441778,Supplier 4,22.0,564.0,1.0,99.4661086035991,Fail,0.39817718685065,Road,Route C,802.056311817558,-131.54,19.944,14.2,6.5,4.532,23.0,1.878,396.0,-303.0,0.5054,47.0,0.0003,542,0,Low,6.77
cosmetics,SKU8,68.7175967485273,78.0,150.0,7517.36321063112,Female,5.0,10.0,15.0,7.0,Carrier C,3.40473385708302,Supplier 4,13.0,769.0,8.0,11.4230271395656,Pending,2.70986269110996,Sea,Route B,505.557134225464,83.38,50.116,5.0,1.0,25.0,21.0,3.348,131.0,-126.0,0.0055,48.062,0.0005,170,1,High,0.81
skincare,SKU9,64.0157329412785,35.0,980.0,4971.14598758555,Unknown,14.0,27.0,83.0,1.0,Carrier A,7.16664529104821,Supplier 2,29.0,963.0,23.0,47.9576016349515,Pending,3.84461447876758,Rail,Route B,995.929461498641,25.08,5.073,32.667,0.4,65.333,52.0,1.015,2043.0,-2029.0,0.0107,11.464,0.0014,694,0,High,4.63
